County,EV_Share_of_Original_Registrations,EV_Original_Registrations,EVs_on_the_Road,EV_Share_on_the_Road,EVs_On_the_Road_Growth_Over_3_Months
Adams County,1.79%,13738,11862,3.04%,0.2%
Alamosa County,0.36%,98,89,0.62%,-3.3%
Arapahoe County,2.03%,29620,23118,4.55%,-0.2%
Archuleta County,0.52%,171,152,1.01%,0.7%
Baca County,0.12%,10,9,0.25%,0.0%
Bent County,0.16%,11,12,0.33%,0.0%
Boulder County,4.53%,27973,22102,8.46%,0.3%
Broomfield County,3.67%,5390,4441,6.81%,0.3%
Chaffee County,1.11%,451,426,1.83%,0.7%
Cheyenne County,0.37%,18,15,0.78%,0.0%
Clear Creek County,1.08%,165,126,1.92%,-4.5%
Conejos County,0.22%,34,32,0.37%,14.3%
Costilla County,0.44%,38,38,0.77%,8.6%
Crowley County,0.31%,17,17,0.60%,0.0%
Custer County,0.74%,84,76,1.18%,-2.6%
Delta County,0.54%,321,295,0.90%,0.7%
Denver County,2.99%,45282,31404,6.36%,-9.2%
Dolores County,0.41%,20,20,0.90%,5.3%
Douglas County,3.62%,28896,22500,6.52%,0.0%
Eagle County,2.09%,2638,1947,3.49%,-1.6%
El Paso County,1.62%,22624,17845,2.95%,-0.6%
Elbert County,1.49%,626,535,2.31%,0.9%
Fremont County,0.49%,375,329,0.82%,-1.2%
Garfield County,1.51%,1994,1671,2.49%,0.4%
Gilpin County,1.73%,245,194,2.83%,-6.3%
Grand County,1.34%,493,424,2.26%,1.2%
Gunnison County,1.02%,347,293,1.67%,-0.0%
Hinsdale County,0.41%,10,5,0.46%,0.0%
Huerfano County,0.55%,76,75,1.03%,-3.8%
Jackson County,0.29%,11,9,0.48%,0.0%
Jefferson County,2.45%,29103,23444,4.68%,-0.3%
Kiowa County,0.59%,19,10,0.63%,11.1%
Kit Carson County,0.20%,34,23,0.31%,-4.2%
La Plata County,1.10%,1372,1159,2.21%,0.5%
Lake County,0.70%,115,110,1.29%,4.8%
Larimer County,2.37%,15362,12783,4.43%,0.9%
Las Animas County,0.31%,93,93,0.70%,3.3%
Lincoln County,0.30%,28,23,0.50%,-4.2%
Logan County,0.35%,130,111,0.62%,4.7%
Mesa County,0.87%,2484,2083,1.50%,-0.1%
Mineral County,0.40%,12,7,0.50%,-12.5%
Moffat County,0.19%,51,41,0.34%,7.9%
Montezuma County,0.41%,236,214,0.90%,9.2%
Montrose County,0.67%,530,472,1.08%,0.2%
Morgan County,0.44%,237,210,0.72%,-0.5%
Otero County,0.25%,82,74,0.44%,-7.5%
Ouray County,1.68%,198,152,2.81%,-3.2%
Out of State or Unknown,5.47%,4652,527,4.59%,-18.0%
Park County,0.99%,417,302,1.54%,1.0%
Phillips County,0.36%,40,35,0.71%,9.4%
Pitkin County,2.74%,1250,861,5.05%,1.3%
Prowers County,0.19%,42,38,0.34%,8.6%
Pueblo County,0.80%,2192,1847,1.34%,1.0%
Rio Blanco County,0.15%,20,19,0.33%,0.0%
Rio Grande County,0.30%,71,71,0.59%,6.0%
Routt County,1.33%,741,668,2.52%,-0.0%
Saguache County,0.70%,94,76,1.06%,4.1%
San Juan County,0.42%,8,10,1.10%,0.0%
San Miguel County,1.77%,356,266,3.00%,3.9%
Sedgwick County,0.13%,8,8,0.33%,14.3%
Summit County,2.08%,1569,1260,3.71%,-1.1%
Teller County,0.83%,491,385,1.43%,-0.8%
Washington County,0.21%,20,19,0.41%,11.8%
Weld County,1.88%,10878,9049,3.00%,0.6%
Yuma County,0.20%,43,37,0.37%,2.8%
